year,state,clone,LxW
2017,OR,a08510-1lb,1.37
2017,OR,a10021-5te,2.02
2017,OR,ao03123-2,1.87
2017,OR,ao06191-1,1.78
2017,OR,aor06070-1kf,1.79
2017,OR,aor07781-5,1.83
2017,OR,aor07821-1,1.68
2017,OR,co08065-2ru,1.72
2017,OR,co08155-2ru/y,1.73
2017,OR,por12nck50-1,1.8
2017,OR,ranger russet,2.47
2017,OR,ranger russet,2.47
2017,OR,russet burbank,2.09
2017,OR,russet burbank,2.09
2018,OR,a07061-6,1.53
2018,OR,a07098-4,1.66
2018,OR,a071012-4bf,1.71
2018,OR,a07547-4adg,1.27
2018,OR,a07769-4,1.67
2018,OR,a08433-4vr,1.6
2018,OR,a08510-1lb,1.39
2018,OR,a09022-4,1.52
2018,OR,a10021-5te,1.77
2018,OR,ao02183-2,1.73
2018,OR,ao06191-1,1.58
2018,OR,aor07781-5,1.6
2018,OR,aor07821-1,1.62
2018,OR,aor08540-1,1.81
2018,OR,aor10204-3,1.77
2018,OR,aotx05043-1ru,1.56
2018,OR,co08155-2ru/y,1.91
2018,OR,co09036-2ru,1.81
2018,OR,co09205-2ru,2
2018,OR,or12133-10,1.61
2018,OR,por12nck50-1,1.73
2018,OR,ranger russet,1.93
2018,OR,ranger russet,1.93
2018,OR,russet burbank,1.95
2018,OR,russet burbank,1.95
2019,OR,a07061-6,1.8
2019,OR,a071012-4bf,1.78
2019,OR,a07769-4,1.9
2019,OR,a08422-4vrsto,1.89
2019,OR,a08433-4vr,1.99
2019,OR,a09022-4,1.67
2019,OR,a10007-3,1.8
2019,OR,a10021-5te,2.19
2019,OR,a10595-13sto,1.87
2019,OR,a11194-1,1.63
2019,OR,ao02183-2,2.2
2019,OR,aor07781-5,1.95
2019,OR,aor11217-3,2.01
2019,OR,co09205-2ru,2.31
2019,OR,co10087-4ru,2.17
2019,OR,co10091-1ru,1.88
2019,OR,coa11013-2,2.38
2019,OR,or12133-10,1.95
2019,OR,por12nck50-1,1.86
2019,OR,ranger russet,2.19
2019,OR,ranger russet,2.19
2019,OR,russet burbank,2.37
2019,OR,russet burbank,2.37
2020,OR,a071012-4bf,1.65
2020,OR,a07769-4,1.53
2020,OR,a09119-4lb,1.49
2020,OR,a10021-5te,1.83
2020,OR,a10594-4sto,1.73
2020,OR,a11188-1,1.47
2020,OR,a11271-2te,1.48
2020,OR,a12305-2adg,1.87
2020,OR,afa5661-8,1.46
2020,OR,aor08540-1,1.79
2020,OR,aor11217-3,1.66
2020,OR,clearwater russet,1.61
2020,OR,clearwater russet,1.61
