year,location,block,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight,range,row
2015,RT,2,UI Sparrow,100,150,42,0,152.8956,55.5,4,13
2015,RT,2,OR2080641,100,144,36,0,145.6356,56.1,4,14
2015,RT,2,SY Assure,100,133,33,0,109.9164,55.5,5,1
2015,RT,2,LCS Biancor,100,144,33,0,139.2468,54.1,5,2
2015,RT,2,WB1529,100,139,36,0,139.2468,57,5,3
2015,RT,2,DAS004,100,148,37,0,117.3216,53,5,4
2015,RT,2,Norwest Tandem,100,144,35,0,128.0664,53.8,5,5
2015,RT,2,LCS Artdeco,100,142,33,0,143.8932,51.6,5,6
2015,RT,2,LOR-913,100,141,36,0,130.2444,54.4,5,7
2015,RT,2,Stephens,100,142,35,0,124.872,51.9,5,8
2015,RT,2,LCS Drive,100,143,30,0,134.6004,48.8,5,9
2015,RT,2,OR2090473,100,143,32,0,108.4644,49.3,5,10
2015,RT,2,Norwest Duet,100,148,42,0,101.3496,46.8,5,11
2015,RT,2,Brundage,100,141,36,0,118.0476,49.1,5,12
2015,RT,2,OR2080637,100,148,39,0,99.3168,45.1,5,13
2015,RT,2,SY 107,100,144,40,0,93.2184,46.8,5,14
2015,RT,2,OR2100940,100,143,34,0,103.818,51.3,6,1
2015,RT,2,WB1376 CLP,100,143,39,0,113.982,54.4,6,2
2015,RT,2,UI Castle CLP,100,148,41,0,101.7852,48.2,6,3
2015,RT,2,Eltan,100,148,41,0,115.8696,48.8,6,4
2015,RT,2,UI Palouse,100,146,35,0,114.708,51.9,6,5
2015,RT,2,UI Magic CLP,100,143,36,0,122.2584,51.9,6,6
2015,RT,2,06-03303B,100,147,39,0,128.0664,52.2,6,7
2015,RT,2,SY  Ovation,100,144,40,0,146.0712,55.8,6,8
2015,RT,2,LOR-978,100,146,37,0,121.5324,55.5,6,9
2015,RT,2,UI-WSU Huffman,100,149,41,0,115.434,52.7,6,10
2015,RT,2,Jasper,100,148,40,0,121.3872,51.6,6,11
2015,RT,2,Kaseberg,100,146,40,0,108.6096,47.6,6,12
2015,RT,2,DAS003,100,148,40,0,107.7384,47.4,6,13
2015,RT,2,LOR-833,100,137,34,0,118.4832,49.1,6,14
2015,RT,3,DAS004,100,148,37,0,117.7572,54.1,7,1
2015,RT,3,IDN-01-10704A,100,144,41,0,158.8488,53.3,7,2
2015,RT,3,Rosalyn,100,146,37,0,158.4132,55.8,7,3
2015,RT,3,SY 107,100,147,39,0,158.4132,55,7,4
2015,RT,3,Stephens,100,143,33,0,140.6988,53.8,7,5
2015,RT,3,WB1376 CLP,100,143,38,0,134.4552,57.2,7,6
2015,RT,3,UI Palouse,100,147,35,0,122.4036,52.4,7,7
2015,RT,3,Eltan,100,149,39,75,120.8064,51.6,7,8
