site,block,variety,yield
site_2,4,variety_22,919.2094891
site_9,2,variety_35,923.2767877
site_9,4,variety_27,925.9883202
site_9,4,variety_12,931.411385
site_3,3,variety_21,931.728692
site_6,2,variety_15,932.7671512
site_3,4,variety_21,939.0844448
site_9,2,variety_33,943.6132809
site_3,3,variety_19,943.98828
site_6,3,variety_10,947.6805795
site_3,4,variety_4,949.9923347
site_4,1,variety_22,953.1036443
site_1,3,variety_22,955.8151767
site_9,1,variety_4,957.1709429
site_3,1,variety_1,957.8824798
site_9,4,variety_15,963.949774
site_8,4,variety_21,970.8380549
site_9,3,variety_35,977.5074361
site_3,2,variety_29,978.3151266
site_3,4,variety_35,979.5410854
site_3,1,variety_20,986.4881853
site_3,3,variety_35,987.3054911
site_1,3,variety_2,989.7093319
site_3,3,variety_37,994.661244
site_2,1,variety_24,996.488163
site_5,2,variety_22,996.8271045
site_3,1,variety_29,1004.468914
site_3,1,variety_33,1006.103526
site_5,1,variety_2,1006.910616
site_5,4,variety_38,1006.910616
site_3,4,variety_1,1008.555444
site_9,4,variety_25,1008.690059
site_3,2,variety_12,1009.37275
site_3,2,variety_23,1009.37275
site_4,3,variety_22,1010.045825
site_3,1,variety_26,1013.459279
site_3,1,variety_36,1013.459279
site_1,2,variety_22,1015.46889
site_9,3,variety_5,1016.824656
site_2,2,variety_2,1019.536189
site_9,4,variety_20,1019.536189
site_5,3,variety_34,1021.315632
site_3,4,variety_24,1023.864211
site_3,1,variety_24,1024.084255
site_2,4,variety_24,1024.959253
site_9,2,variety_33,1026.31502
site_9,3,variety_33,1030.382318
site_9,3,variety_36,1030.382318
site_3,1,variety_34,1033.07462
site_9,4,variety_6,1033.093851
site_3,1,variety_18,1038.795761
site_3,1,variety_16,1041.247679
site_8,2,variety_3,1047.364702
site_9,4,variety_25,1056.141876
site_3,3,variety_36,1059.228408
site_4,1,variety_3,1061.564941
site_5,4,variety_21,1061.649676
site_3,1,variety_10,1061.680325
site_3,1,variety_31,1066.584161
site_8,3,variety_34,1069.87254
site_3,2,variety_1,1070.67069
site_5,3,variety_21,1071.733188
site_4,3,variety_3,1075.122603
site_3,3,variety_23,1076.391831
site_9,4,variety_18,1079.189902
site_9,1,variety_20,1080.545668
site_3,3,variety_14,1081.295666
site_9,1,variety_15,1087.324499
site_8,3,variety_21,1089.379332
site_1,1,variety_22,1090.036031
site_2,1,variety_34,1090.036031
site_2,4,variety_3,1091.391798
site_9,2,variety_29,1092.747564
site_5,1,variety_21,1093.340711
site_9,1,variety_8,1095.459096
site_2,2,variety_1,1102.237927
